match,date,venue,max_possible_pts,model_points,model_overlap,model_capture_pct,career_capture_pct,form_capture_pct,random_capture_pct
Rajasthan Royals vs Royal Challengers Bengaluru,2025-04-13,"Sawai Mansingh Stadium, Jaipur",673.0,570.0,8,84.7,52.97,63.15,63.67
Rajasthan Royals vs Sunrisers Hyderabad,2023-04-02,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",767.5,620.0,8,80.78,82.35,82.93,26.78
Rajasthan Royals vs Sunrisers Hyderabad,2023-05-07,"Sawai Mansingh Stadium, Jaipur",844.0,750.0,10,88.86,59.54,67.89,33.89
Royal Challengers Bangalore vs Delhi Capitals,2023-05-06,"Arun Jaitley Stadium, Delhi",702.0,563.0,8,80.2,62.32,62.32,31.84
Royal Challengers Bangalore vs Delhi Capitals,2023-04-15,"M Chinnaswamy Stadium, Bengaluru",658.5,642.0,8,97.49,61.43,76.77,40.85
Royal Challengers Bangalore vs Gujarat Titans,2023-05-21,"M Chinnaswamy Stadium, Bengaluru",841.0,731.5,7,86.98,58.56,83.23,50.42
Royal Challengers Bangalore vs Lucknow Super Giants,2023-05-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",617.0,483.0,8,78.28,67.5,76.34,41.0
Royal Challengers Bangalore vs Lucknow Super Giants,2023-04-10,"M Chinnaswamy Stadium, Bengaluru",892.5,852.5,10,95.52,64.03,62.13,38.54
Royal Challengers Bangalore vs Mumbai Indians,2023-05-09,"Wankhede Stadium, Mumbai",843.0,698.0,9,82.8,40.93,79.24,53.14
Royal Challengers Bangalore vs Punjab Kings,2023-04-20,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",781.5,678.5,8,86.82,69.99,83.24,49.07
Royal Challengers Bangalore vs Rajasthan Royals,2023-04-23,"M Chinnaswamy Stadium, Bengaluru",863.5,679.0,7,78.63,55.82,74.23,12.16
Royal Challengers Bangalore vs Rajasthan Royals,2023-05-14,"Sawai Mansingh Stadium, Jaipur",717.5,487.0,7,67.87,52.68,63.14,48.22
Royal Challengers Bengaluru vs Chennai Super Kings,2024-05-18,"M Chinnaswamy Stadium, Bengaluru",738.5,637.0,8,86.26,54.5,71.83,44.41
Royal Challengers Bengaluru vs Chennai Super Kings,2024-03-22,"MA Chidambaram Stadium, Chepauk, Chennai",651.0,478.0,7,73.43,48.23,60.29,51.61
Royal Challengers Bengaluru vs Chennai Super Kings,2025-03-28,"MA Chidambaram Stadium, Chepauk, Chennai",693.5,636.5,8,91.78,72.1,82.7,46.72
Royal Challengers Bengaluru vs Delhi Capitals,2024-05-12,"M Chinnaswamy Stadium, Bengaluru",818.5,650.5,8,79.47,61.7,82.59,49.6
Royal Challengers Bengaluru vs Delhi Capitals,2025-04-10,"M Chinnaswamy Stadium, Bengaluru",702.0,588.0,8,83.76,64.67,54.42,75.14
Royal Challengers Bengaluru vs Gujarat Titans,2025-04-02,"M Chinnaswamy Stadium, Bengaluru",719.5,564.0,7,78.39,54.9,75.61,35.51
Royal Challengers Bengaluru vs Kolkata Knight Riders,2024-03-29,"M Chinnaswamy Stadium, Bengaluru",699.5,605.0,8,86.49,58.76,67.98,42.96
Royal Challengers Bengaluru vs Mumbai Indians,2024-04-11,"Wankhede Stadium, Mumbai",897.0,736.5,8,82.11,64.94,61.26,59.81
Royal Challengers Bengaluru vs Mumbai Indians,2025-04-07,"Wankhede Stadium, Mumbai",860.5,710.0,7,82.51,60.89,77.28,41.26
Royal Challengers Bengaluru vs Punjab Kings,2024-05-09,"Himachal Pradesh Cricket Association Stadium, Dharamsala",929.0,921.5,11,99.19,68.95,78.2,39.18
Royal Challengers Bengaluru vs Rajasthan Royals,2024-05-22,"Narendra Modi Stadium, Ahmedabad",609.0,494.0,8,81.12,62.15,81.44,63.63
Royal Challengers Bengaluru vs Rajasthan Royals,2024-04-06,"Sawai Mansingh Stadium, Jaipur",851.5,759.5,9,89.2,75.1,88.26,52.85
Royal Challengers Bengaluru vs Sunrisers Hyderabad,2024-04-25,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",699.0,475.5,7,68.03,54.43,70.17,32.4
Sunrisers Hyderabad vs Chennai Super Kings,2023-04-21,"MA Chidambaram Stadium, Chepauk, Chennai",624.5,495.0,8,79.26,65.09,75.58,52.2
Sunrisers Hyderabad vs Delhi Capitals,2023-04-29,"Arun Jaitley Stadium, Delhi",808.5,562.5,7,69.57,39.95,64.32,33.95
Sunrisers Hyderabad vs Delhi Capitals,2024-04-20,"Arun Jaitley Stadium, Delhi",1010.0,973.0,10,96.34,46.34,78.02,30.2
Sunrisers Hyderabad vs Delhi Capitals,2025-03-30,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",916.5,839.0,9,91.54,66.72,83.14,45.39
Sunrisers Hyderabad vs Gujarat Titans,2024-03-31,"Narendra Modi Stadium, Ahmedabad",610.0,479.0,8,78.52,68.52,88.61,33.77
Sunrisers Hyderabad vs Gujarat Titans,2025-04-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",736.0,652.0,8,88.59,60.6,63.45,47.08
Sunrisers Hyderabad vs Kolkata Knight Riders,2023-04-14,"Eden Gardens, Kolkata",916.0,815.0,7,88.97,24.13,68.89,20.96
Sunrisers Hyderabad vs Kolkata Knight Riders,2024-05-26,"MA Chidambaram Stadium, Chepauk, Chennai",585.5,472.5,7,80.7,67.98,74.21,71.22
Sunrisers Hyderabad vs Kolkata Knight Riders,2024-05-21,"Narendra Modi Stadium, Ahmedabad",700.0,648.0,9,92.57,73.79,56.93,44.14
Sunrisers Hyderabad vs Lucknow Super Giants,2023-04-07,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",561.0,478.0,8,85.2,54.63,54.81,63.64
Sunrisers Hyderabad vs Lucknow Super Giants,2023-05-13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",633.5,552.5,8,87.21,42.54,57.93,64.09
Sunrisers Hyderabad vs Lucknow Super Giants,2025-03-27,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",777.0,649.0,6,83.53,63.26,74.84,31.47
Sunrisers Hyderabad vs Mumbai Indians,2024-03-27,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",864.0,738.0,8,85.42,54.11,69.1,56.54
Sunrisers Hyderabad vs Mumbai Indians,2023-05-21,"Wankhede Stadium, Mumbai",874.5,724.5,8,82.85,73.99,82.1,36.71
Sunrisers Hyderabad vs Mumbai Indians,2024-05-06,"Wankhede Stadium, Mumbai",762.5,623.0,7,81.7,62.1,68.92,23.67
Sunrisers Hyderabad vs Mumbai Indians,2025-04-17,"Wankhede Stadium, Mumbai",585.0,391.5,7,66.92,72.22,72.74,49.91
Sunrisers Hyderabad vs Punjab Kings,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",736.0,676.0,9,91.85,55.03,77.17,41.85
Sunrisers Hyderabad vs Rajasthan Royals,2024-05-24,"MA Chidambaram Stadium, Chepauk, Chennai",838.5,652.0,7,77.76,56.71,63.33,32.74
Sunrisers Hyderabad vs Rajasthan Royals,2024-05-02,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",868.5,736.0,9,84.74,52.5,83.13,27.63
Sunrisers Hyderabad vs Rajasthan Royals,2025-03-23,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",999.5,778.5,8,77.89,46.27,70.09,34.17
Sunrisers Hyderabad vs Royal Challengers Bangalore,2023-05-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",804.0,756.0,9,94.03,78.11,82.46,42.97
Sunrisers Hyderabad vs Royal Challengers Bengaluru,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1003.0,953.0,10,95.01,51.3,84.2,52.59
